date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:42	32928/32928	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2003:37:47%20GMT	https://plasmaadonation.web.app/	E:Industrail_project/Industrail%20project/plasmaadonation.web.app/index.html	(from )
17:04:42	853/853	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Jul%202021%2003:37:47%20GMT	https://plasmaadonation.web.app/robots.txt		(from )
17:04:43	2444/2444	---M-Z	200	added ('OK')	image/png	date:Mon,%2012%20Jul%202021%2003:37:47%20GMT	https://plasmaadonation.web.app/Files/logo.png	E:Industrail_project/Industrail%20project/plasmaadonation.web.app/Files/logo.png	(from https://plasmaadonation.web.app/)
17:04:44	97252/97252	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2003:37:47%20GMT	https://plasmaadonation.web.app/Files/jquery.js.download	E:Industrail_project/Industrail%20project/plasmaadonation.web.app/Files/jquery.js.html	(from https://plasmaadonation.web.app/)
17:04:44	346/346	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20Jul%202021%2003:37:47%20GMT	https://plasmaadonation.web.app/Files/view.css	E:Industrail_project/Industrail%20project/plasmaadonation.web.app/Files/view.css	(from https://plasmaadonation.web.app/)
17:04:45	30949/30949	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20Jul%202021%2003:37:47%20GMT	https://plasmaadonation.web.app/Files/font-awesome.css	E:Industrail_project/Industrail%20project/plasmaadonation.web.app/Files/font-awesome.css	(from https://plasmaadonation.web.app/)
17:04:46	1486/1486	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20Jul%202021%2003:37:47%20GMT	https://plasmaadonation.web.app/Files/responsive-slides.css	E:Industrail_project/Industrail%20project/plasmaadonation.web.app/Files/responsive-slides.css	(from https://plasmaadonation.web.app/)
17:04:46	1483/1483	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20Jul%202021%2003:37:47%20GMT	https://plasmaadonation.web.app/Files/font-face.css	E:Industrail_project/Industrail%20project/plasmaadonation.web.app/Files/font-face.css	(from https://plasmaadonation.web.app/)
17:04:46	12795/12795	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20Jul%202021%2003:37:47%20GMT	https://plasmaadonation.web.app/Files/jquery.fancybox.min.css	E:Industrail_project/Industrail%20project/plasmaadonation.web.app/Files/jquery.fancybox.min.css	(from https://plasmaadonation.web.app/)
17:04:47	258682/258682	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20Jul%202021%2003:37:47%20GMT	https://plasmaadonation.web.app/Files/common.css	E:Industrail_project/Industrail%20project/plasmaadonation.web.app/Files/common.css	(from https://plasmaadonation.web.app/)
17:04:47	2736/2736	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20Jul%202021%2003:37:47%20GMT	https://plasmaadonation.web.app/Files/editmode.css	E:Industrail_project/Industrail%20project/plasmaadonation.web.app/Files/editmode.css	(from https://plasmaadonation.web.app/)
